,Missing,Unique
record_id,0,46
record_type,0,3
category,35,7
pillar,11,4
indicator,0,30
indicator_code,0,30
indicator_direction,11,3
value_numeric,11,34
value_text,35,3
value_type,0,6
unit,11,8
observation_date,0,27
period_start,36,4
period_end,36,4
fiscal_year,0,13
gender,0,3
location,0,1
region,46,0
source_name,0,27
source_type,0,7
source_url,12,10
confidence,0,2
related_indicator,46,0
relationship_type,46,0
impact_direction,46,0
impact_magnitude,46,0
impact_estimate,46,0
lag_months,46,0
evidence_basis,46,0
comparable_country,0,1
collected_by,0,2
collection_date,33,11
original_text,10,35
notes,43,2
